pokemon_1,pokemon_2,winner,label,turns
Toucannon,Orbeetle,Toucannon,1,2
Seel,Koraidon,Koraidon,0,2
Unown,Mr-Rime,Mr-Rime,0,1
Roaring-Moon,Mankey,Roaring-Moon,1,1
Xatu,Flamigo,Xatu,1,2
Dragalge,Snivy,Dragalge,1,1
Maushold-Family-Of-Four,Gabite,Maushold-Family-Of-Four,1,1
Growlithe,Skeledirge,Skeledirge,0,2
Pidove,Miltank,Miltank,0,2
Delibird,Carvanha,Delibird,1,1
Pansage,Butterfree,Butterfree,0,1
Glalie,Type-Null,Type-Null,0,3
Venomoth,Calyrex,Venomoth,1,2
Hatterene,Greavard,Hatterene,1,1
Mareep,Sawk,Sawk,0,1
Pignite,Gardevoir,Gardevoir,0,1
Shinx,Quaquaval,Quaquaval,0,1
Annihilape,Porygon,Annihilape,1,1
Smoochum,Magneton,Magneton,0,1
Magearna,Ekans,Magearna,1,1
Scolipede,Rattata,Scolipede,1,1
Emboar,Great-Tusk,Great-Tusk,0,2
Moltres,Skitty,Moltres,1,1
Kabuto,Annihilape,Annihilape,0,1
Lillipup,Barraskewda,Barraskewda,0,2
Melmetal,Primeape,Melmetal,1,2
Chewtle,Camerupt,Chewtle,1,2
Nosepass,Magneton,Magneton,0,1
Sylveon,Golett,Sylveon,1,1
Finizen,Gimmighoul,Finizen,1,3
Dedenne,Magikarp,Dedenne,1,1
Frillish-Male,Magmortar,Magmortar,0,3
Deoxys-Normal,Breloom,Deoxys-Normal,1,1
Oricorio-Baile,Greninja,Greninja,0,2
Dragalge,Metang,Metang,0,3
Type-Null,Blacephalon,Blacephalon,0,3
Indeedee-Male,Ting-Lu,Ting-Lu,0,2
Articuno,Garbodor,Articuno,1,3
Trubbish,Vanillish,Vanillish,0,2
Genesect,Skorupi,Genesect,1,2
Krookodile,Frigibax,Krookodile,1,2
Cinccino,Swinub,Cinccino,1,1
Lunala,Quaquaval,Lunala,1,1
Crocalor,Floragato,Crocalor,1,1
Venonat,Dwebble,Dwebble,0,1
Dedenne,Diggersby,Diggersby,0,2
Minior-Red-Meteor,Lileep,Minior-Red-Meteor,1,3
Emboar,Eevee,Emboar,1,1
Klefki,Charjabug,Klefki,1,3
Kricketot,Graveler,Graveler,0,1
Sudowoodo,Grumpig,Grumpig,0,3
Terrakion,Crawdaunt,Terrakion,1,1
Hitmonchan,Snorunt,Hitmonchan,1,1
Claydol,Palkia,Palkia,0,1
Totodile,Omanyte,Totodile,1,2
Huntail,Volbeat,Volbeat,0,3
Wugtrio,Wailmer,Wailmer,0,2
Purrloin,Cacturne,Cacturne,0,1
Ivysaur,Escavalier,Escavalier,0,2
Litten,Eldegoss,Eldegoss,0,2
Fomantis,Haxorus,Haxorus,0,1
Beartic,Passimian,Passimian,0,2
Slakoth,Mienfoo,Mienfoo,0,1
Kleavor,Musharna,Kleavor,1,2
Nosepass,Steelix,Steelix,0,1
Zacian,Feraligatr,Zacian,1,4
Dugtrio,Lucario,Dugtrio,1,1
Slurpuff,Mabosstiff,Slurpuff,1,2
Graveler,Omanyte,Graveler,1,1
Espurr,Ursaluna,Ursaluna,0,1
Shinx,Sunkern,Shinx,1,1
Cloyster,Druddigon,Cloyster,1,2
Zebstrika,Purugly,Zebstrika,1,3
Maschiff,Dedenne,Dedenne,0,1
Drilbur,Meowstic-Male,Meowstic-Male,0,2
Samurott,Rhyperior,Samurott,1,1
Shelmet,Iron-Boulder,Iron-Boulder,0,1
Shelmet,Swoobat,Swoobat,0,2
Wobbuffet,Rockruff,Wobbuffet,1,3
Drakloak,Gulpin,Drakloak,1,2
Rillaboom,Mime-Jr,Rillaboom,1,1
Solrock,Barbaracle,Barbaracle,0,3
Minun,Hitmonlee,Hitmonlee,0,1
Araquanid,Trumbeak,Trumbeak,0,2
Magnemite,Bulbasaur,Magnemite,1,1
Magearna,Roaring-Moon,Magearna,1,1
Vanillish,Masquerain,Vanillish,1,2
Machop,Blacephalon,Blacephalon,0,1
Dachsbun,Gumshoos,Gumshoos,0,3
Golem,Hoothoot,Golem,1,1
Marshtomp,Aggron,Marshtomp,1,2
Mienshao,Honchkrow,Honchkrow,0,1
Klefki,Flareon,Flareon,0,2
Talonflame,Pawmi,Talonflame,1,1
Sirfetchd,Landorus-Incarnate,Landorus-Incarnate,0,1
Regirock,Pidgey,Regirock,1,1
Inkay,Aron,Aron,0,2
Rattata,Crabrawler,Crabrawler,0,1
Sandy-Shocks,Mothim,Sandy-Shocks,1,1
Sigilyph,Magearna,Magearna,0,2
Joltik,Charcadet,Charcadet,0,1
Magikarp,Houndstone,Houndstone,0,1
Mamoswine,Kyurem,Kyurem,0,3
Carnivine,Pawmi,Carnivine,1,1
Sigilyph,Sinistea,Sigilyph,1,1
Braviary,Marowak,Braviary,1,3
Nidorina,Dracozolt,Dracozolt,0,2
Klink,Woobat,Klink,1,2
Kabutops,Typhlosion,Kabutops,1,2
Huntail,Porygon2,Porygon2,0,3
Glalie,Pheromosa,Pheromosa,0,1
Ninetales,Natu,Ninetales,1,1
Staraptor,Farigiraf,Farigiraf,0,2
Dottler,Skuntank,Skuntank,0,2
Sinistcha,Tadbulb,Sinistcha,1,1
Seel,Graveler,Seel,1,1
Tsareena,Helioptile,Tsareena,1,1
Klawf,Togepi,Klawf,1,1
Elekid,Pelipper,Elekid,1,1
Amaura,Larvitar,Amaura,1,1
Chespin,Patrat,Chespin,1,2
Drilbur,Mimikyu-Disguised,Mimikyu-Disguised,0,2
Cryogonal,Drednaw,Drednaw,0,1
Gardevoir,Dunsparce,Gardevoir,1,3
Noctowl,Chandelure,Chandelure,0,2
Sunkern,Aromatisse,Aromatisse,0,1
Blastoise,Magcargo,Blastoise,1,1
Dubwool,Magcargo,Magcargo,0,3
Swampert,Anorith,Swampert,1,1
Boltund,Metapod,Boltund,1,1
Jirachi,Walking-Wake,Walking-Wake,0,4
Gouging-Fire,Venusaur,Gouging-Fire,1,3
Simisage,Drowzee,Simisage,1,2
Skarmory,Nidoran-F,Skarmory,1,2
Appletun,Turtonator,Turtonator,0,2
Tepig,Chi-Yu,Chi-Yu,0,1
Squirtle,Zacian,Zacian,0,2
Escavalier,Slaking,Slaking,0,4
Calyrex,Nuzleaf,Calyrex,1,2
Delibird,Lilligant,Lilligant,0,2
Golbat,Magikarp,Golbat,1,1
Ducklett,Munna,Munna,0,2
Archaludon,Squirtle,Archaludon,1,1
Morgrem,Aurorus,Aurorus,0,2
Blipbug,Pikipek,Pikipek,0,1
Dewott,Vivillon,Dewott,1,2
Typhlosion,Scizor,Typhlosion,1,1
Shellder,Cherubi,Cherubi,0,1
Overqwil,Wingull,Overqwil,1,1
Graveler,Gigalith,Gigalith,0,2
Heatran,Entei,Entei,0,5
Garbodor,Bulbasaur,Garbodor,1,1
Dachsbun,Lunatone,Lunatone,0,2
Gorebyss,Kricketune,Gorebyss,1,2
Floatzel,Dewpider,Floatzel,1,2
Greavard,Komala,Komala,0,3
Corphish,Cottonee,Cottonee,0,1
Furfrou,Smoliv,Furfrou,1,1
Spiritomb,Lokix,Lokix,0,2
Golbat,Kricketune,Golbat,1,1
Hoppip,Hitmontop,Hitmontop,0,1
Donphan,Dudunsparce-Two-Segment,Dudunsparce-Two-Segment,0,2
Marshtomp,Arceus,Arceus,0,2
Sunflora,Timburr,Sunflora,1,2
Azumarill,Mawile,Azumarill,1,2
Archen,Clauncher,Clauncher,0,1
Diglett,Abra,Diglett,1,1
Spinarak,Chinchou,Chinchou,0,2
Persian,Meditite,Persian,1,1
Alomomola,Klink,Alomomola,1,3
Dewgong,Zekrom,Zekrom,0,2
Patrat,Minior-Red-Meteor,Minior-Red-Meteor,0,2
Dialga,Arrokuda,Dialga,1,1
Bunnelby,Salandit,Salandit,0,1
Sandygast,Seel,Seel,0,2
Mabosstiff,Popplio,Mabosstiff,1,2
Eevee,Electabuzz,Electabuzz,0,2
Metapod,Palpitoad,Palpitoad,0,1
Sealeo,Greavard,Sealeo,1,2
Lilligant,Serperior,Serperior,0,2
Mandibuzz,Yamper,Mandibuzz,1,2
Arctovish,Mime-Jr,Arctovish,1,1
Doduo,Necrozma,Necrozma,0,1
Incineroar,Passimian,Passimian,0,2
Groudon,Tynamo,Groudon,1,1
Igglybuff,Finizen,Finizen,0,2
Parasect,Lickilicky,Lickilicky,0,2
Shiftry,Rabsca,Shiftry,1,2
Ferroseed,Manaphy,Manaphy,0,3
Granbull,Sudowoodo,Granbull,1,3
Gabite,Taillow,Gabite,1,1
Tentacool,Totodile,Totodile,0,2
Drednaw,Pidgeot,Drednaw,1,1
Poliwhirl,Magcargo,Poliwhirl,1,1
Sandshrew,Oshawott,Oshawott,0,1
Hydrapple,Swadloon,Hydrapple,1,2
Bonsly,Poipole,Poipole,0,2
Karrablast,Remoraid,Karrablast,1,1
Golduck,Breloom,Golduck,1,2
Mew,Shaymin-Land,Mew,1,3
Araquanid,Gloom,Araquanid,1,3
Vulpix,Dewgong,Dewgong,0,1
Pachirisu,Crabominable,Crabominable,0,2
Bronzor,Forretress,Forretress,0,3
Whismur,Purugly,Purugly,0,1
Farfetchd,Smoochum,Smoochum,0,1
Tarountula,Staraptor,Staraptor,0,1
Ralts,Yamper,Yamper,0,1
Weezing,Granbull,Weezing,1,2
Eevee,Jellicent-Male,Jellicent-Male,0,2
Obstagoon,Palossand,Obstagoon,1,2
Charcadet,Azumarill,Azumarill,0,1
Mudsdale,Tapu-Bulu,Tapu-Bulu,0,2
Bidoof,Absol,Absol,0,2
Arctozolt,Thievul,Arctozolt,1,2
Ceruledge,Hatenna,Ceruledge,1,1
Gible,Zweilous,Zweilous,0,1
Drapion,Pyroar-Male,Pyroar-Male,0,2
Clefable,Vanilluxe,Vanilluxe,0,3
Sableye,Dubwool,Dubwool,0,4
Nosepass,Chimchar,Nosepass,1,1
Pupitar,Simipour,Simipour,0,1
Aggron,Arceus,Arceus,0,5
Mothim,Meganium,Meganium,0,2
Sandygast,Kangaskhan,Kangaskhan,0,2
Spheal,Kricketune,Kricketune,0,2
Darumaka,Clefairy,Darumaka,1,3
Kirlia,Goodra,Goodra,0,1
Miraidon,Houndstone,Miraidon,1,2
Parasect,Raboot,Raboot,0,1
Bibarel,Roserade,Roserade,0,1
Zekrom,Toucannon,Zekrom,1,2
Fearow,Cherubi,Fearow,1,1
Snubbull,Sentret,Snubbull,1,1
Sirfetchd,Cresselia,Cresselia,0,2
Chimchar,Riolu,Chimchar,1,2
Fletchinder,Krabby,Fletchinder,1,2
Heatran,Fidough,Heatran,1,1
Palafin-Zero,Corsola,Palafin-Zero,1,5
Koraidon,Spectrier,Spectrier,0,3
Pawmi,Parasect,Parasect,0,1
Dottler,Entei,Entei,0,1
Ogerpon,Palkia,Palkia,0,2
Castform,Luvdisc,Castform,1,2
Tarountula,Sneasel,Sneasel,0,2
Shroomish,Florges,Florges,0,1
Magnemite,Basculin-Red-Striped,Basculin-Red-Striped,0,1
Nidoking,Spoink,Nidoking,1,1
Weepinbell,Glaceon,Glaceon,0,1
Simisear,Ferrothorn,Simisear,1,1
Flareon,Cleffa,Flareon,1,1
Tadbulb,Geodude,Tadbulb,1,1
Huntail,Azelf,Azelf,0,2
Fidough,Cofagrigus,Cofagrigus,0,2
Medicham,Regieleki,Regieleki,0,2
Slowpoke,Chesnaught,Chesnaught,0,1
Giratina-Altered,Shiinotic,Giratina-Altered,1,2
Doublade,Armarouge,Armarouge,0,1
Cinccino,Snorunt,Cinccino,1,2
Kricketune,Vigoroth,Vigoroth,0,2
Krokorok,Marshadow,Marshadow,0,1
Scizor,Tyrantrum,Scizor,1,2
Walrein,Goomy,Walrein,1,1
Toxicroak,Finneon,Toxicroak,1,1
Granbull,Mantyke,Granbull,1,2
Lunala,Spewpa,Lunala,1,1
Escavalier,Palpitoad,Escavalier,1,2
Donphan,Brute-Bonnet,Brute-Bonnet,0,2
Natu,Wishiwashi-Solo,Natu,1,1
Arboliva,Piloswine,Arboliva,1,1
Mudsdale,Happiny,Mudsdale,1,1
Misdreavus,Cresselia,Cresselia,0,3
Litten,Sealeo,Sealeo,0,1
Glimmet,Jynx,Jynx,0,1
Kakuna,Dwebble,Dwebble,0,1
Noibat,Blipbug,Noibat,1,1
Morpeko-Full-Belly,Grapploct,Grapploct,0,1
Pawmo,Sprigatito,Pawmo,1,2
Cinccino,Tyrunt,Cinccino,1,2
Linoone,Pawniard,Pawniard,0,3
Glaceon,Probopass,Glaceon,1,2
Chespin,Aerodactyl,Aerodactyl,0,1
Buizel,Snom,Buizel,1,1
Golett,Vanillish,Vanillish,0,1
Roaring-Moon,Makuhita,Roaring-Moon,1,1
Carnivine,Runerigus,Carnivine,1,2
Dewpider,Claydol,Claydol,0,2
Ursaring,Nuzleaf,Ursaring,1,1
Beedrill,Bisharp,Bisharp,0,1
Dewott,Centiskorch,Centiskorch,0,2
Mareep,Garganacl,Garganacl,0,1
Capsakid,Greninja,Greninja,0,1
Scolipede,Iron-Bundle,Iron-Bundle,0,2
Dolliv,Kommo-O,Kommo-O,0,1
Naganadel,Koffing,Naganadel,1,1
Tyranitar,Wugtrio,Tyranitar,1,1
Garchomp,Kyogre,Kyogre,0,1
Mime-Jr,Sandaconda,Sandaconda,0,1
Floette,Cyndaquil,Cyndaquil,0,3
Heatmor,Whimsicott,Heatmor,1,1
Iron-Leaves,Hippopotas,Iron-Leaves,1,1
Zubat,Spritzee,Spritzee,0,1
Elekid,Luvdisc,Elekid,1,1
Charizard,Groudon,Charizard,1,3
Floette,Masquerain,Masquerain,0,2
Wobbuffet,Taillow,Wobbuffet,1,2
Chien-Pao,Rabsca,Chien-Pao,1,2
Tsareena,Trumbeak,Trumbeak,0,2
Farfetchd,Mothim,Farfetchd,1,1
Ariados,Frogadier,Ariados,1,2
Parasect,Aggron,Aggron,0,1
Noibat,Diglett,Diglett,0,1
Empoleon,Seadra,Empoleon,1,2
Tyrogue,Azurill,Azurill,0,2
Applin,Espathra,Espathra,0,1
Marill,Smoochum,Smoochum,0,2
Carbink,Spectrier,Spectrier,0,3
Stunfisk,Shuckle,Stunfisk,1,3
Flabebe,Taillow,Flabebe,1,1
Staravia,Araquanid,Staravia,1,2
Happiny,Phantump,Phantump,0,1
Clefairy,Misdreavus,Misdreavus,0,3
Timburr,Meganium,Meganium,0,2
Cacturne,Dudunsparce-Two-Segment,Dudunsparce-Two-Segment,0,2
Duraludon,Frosmoth,Duraludon,1,1
Swampert,Solosis,Swampert,1,1
Delphox,Tympole,Delphox,1,1
Pidgey,Carnivine,Carnivine,0,1
Clefairy,Rockruff,Rockruff,0,2
Durant,Eevee,Durant,1,1
Avalugg,Steenee,Avalugg,1,2
Charizard,Skarmory,Charizard,1,1
Treecko,Slowbro,Slowbro,0,1
Glaceon,Dunsparce,Glaceon,1,2
Misdreavus,Dewpider,Misdreavus,1,2
Kricketot,Dewgong,Dewgong,0,1
Leafeon,Aegislash-Shield,Aegislash-Shield,0,3
Salamence,Noivern,Salamence,1,1
Dracozolt,Tranquill,Dracozolt,1,1
Swirlix,Cranidos,Cranidos,0,2
Unfezant,Glastrier,Glastrier,0,2
Jigglypuff,Machop,Machop,0,2
Omastar,Elekid,Omastar,1,1
Munna,Ponyta,Munna,1,2
Krookodile,Squirtle,Krookodile,1,1
Genesect,Shuppet,Genesect,1,1
Axew,Archaludon,Archaludon,0,1
Iron-Leaves,Snover,Iron-Leaves,1,2
Klang,Granbull,Klang,1,2
Cottonee,Purrloin,Cottonee,1,1
Metang,Purugly,Metang,1,3
Arctovish,Breloom,Arctovish,1,1
Kecleon,Ursaring,Ursaring,0,2
Quagsire,Pichu,Quagsire,1,1
Nymble,Delcatty,Delcatty,0,1
Paras,Alomomola,Alomomola,0,2
Golurk,Masquerain,Golurk,1,2
Passimian,Spectrier,Spectrier,0,3
Togepi,Beartic,Beartic,0,2
Darumaka,Barboach,Barboach,0,2
Tatsugiri-Curly,Exeggutor,Tatsugiri-Curly,1,2
Phanpy,Incineroar,Incineroar,0,2
Abomasnow,Aromatisse,Abomasnow,1,4
Liepard,Venipede,Liepard,1,1
Virizion,Plusle,Virizion,1,2
Tepig,Chewtle,Chewtle,0,2
Magmortar,Dodrio,Magmortar,1,1
Quaxly,Kabuto,Kabuto,0,2
Purrloin,Toucannon,Toucannon,0,1
Floatzel,Yamper,Floatzel,1,2
Blitzle,Greninja,Greninja,0,1
Vileplume,Whiscash,Vileplume,1,1
Seismitoad,Combusken,Seismitoad,1,1
Starly,Jellicent-Male,Jellicent-Male,0,1
Gyarados,Finizen,Gyarados,1,1
Vaporeon,Swampert,Swampert,0,3
Floragato,Darmanitan-Standard,Darmanitan-Standard,0,2
Type-Null,Venipede,Type-Null,1,1
Liepard,Thwackey,Liepard,1,2
Florges,Tyrantrum,Florges,1,1
Electrode,Skarmory,Electrode,1,2
Watchog,Jangmo-O,Watchog,1,2
Melmetal,Drifloon,Melmetal,1,1
Forretress,Gurdurr,Gurdurr,0,4
Yamask,Kubfu,Kubfu,0,3
Poliwag,Pawmot,Pawmot,0,1
Croagunk,Prinplup,Prinplup,0,2
Cascoon,Regice,Regice,0,1
Remoraid,Scorbunny,Remoraid,1,1
Rattata,Snom,Rattata,1,1
Eelektrik,Bagon,Eelektrik,1,1
Greavard,Volcarona,Volcarona,0,1
Necrozma,Primeape,Necrozma,1,1
Tsareena,Panpour,Tsareena,1,1
Scyther,Weedle,Scyther,1,1
Houndstone,Rillaboom,Houndstone,1,4
Pincurchin,Quilava,Quilava,0,2
Hawlucha,Magmortar,Magmortar,0,2
Cradily,Morelull,Cradily,1,2
Spewpa,Pidove,Pidove,0,1
Hypno,Alakazam,Hypno,1,3
Tarountula,Deerling,Deerling,0,1
Koraidon,Igglybuff,Koraidon,1,1
Gastrodon,Tepig,Gastrodon,1,1
Armaldo,Abra,Armaldo,1,1
Mewtwo,Flamigo,Mewtwo,1,1
Omanyte,Nihilego,Nihilego,0,2
Glaceon,Vivillon,Glaceon,1,1
Leafeon,Meowstic-Male,Meowstic-Male,0,2
Aerodactyl,Rillaboom,Aerodactyl,1,2
Unfezant,Charjabug,Unfezant,1,2
Munchlax,Pawmot,Pawmot,0,2
Victini,Grovyle,Victini,1,1
Roggenrola,Solgaleo,Solgaleo,0,1
Carvanha,Electabuzz,Electabuzz,0,1
Seedot,Dudunsparce-Two-Segment,Dudunsparce-Two-Segment,0,1
Tranquill,Type-Null,Type-Null,0,1
Dhelmise,Musharna,Dhelmise,1,2
Cresselia,Scizor,Scizor,0,2
Glameow,Banette,Banette,0,2
Nidoqueen,Latias,Latias,0,2
Poliwrath,Scream-Tail,Scream-Tail,0,3
Braixen,Emboar,Emboar,0,2
Masquerain,Bibarel,Bibarel,0,2
Clefairy,Ceruledge,Ceruledge,0,2
Togedemaru,Spectrier,Spectrier,0,3
Bewear,Cubchoo,Bewear,1,1
Weavile,Duosion,Weavile,1,2
Bombirdier,Seel,Bombirdier,1,2
Slaking,Minior-Red-Meteor,Slaking,1,2
Zacian,Raikou,Zacian,1,4
Paras,Mareep,Mareep,0,1
Gumshoos,Squawkabilly-Green-Plumage,Gumshoos,1,2
Butterfree,Morelull,Butterfree,1,1
Crabominable,Binacle,Crabominable,1,1
Galvantula,Sudowoodo,Sudowoodo,0,1
Bayleef,Murkrow,Murkrow,0,2
Surskit,Zarude,Zarude,0,1
Tatsugiri-Curly,Slurpuff,Slurpuff,0,2
Lombre,Teddiursa,Lombre,1,2
Marshtomp,Charizard,Charizard,0,3
Hawlucha,Applin,Hawlucha,1,1
Pelipper,Zoroark,Zoroark,0,2
Gothita,Metapod,Gothita,1,1
Metang,Flygon,Flygon,0,2
Oranguru,Weedle,Oranguru,1,1
Starmie,Skiploom,Starmie,1,1
Walrein,Klawf,Walrein,1,1
Latios,Indeedee-Male,Latios,1,2
Pelipper,Rampardos,Pelipper,1,1
Reshiram,Nidoqueen,Reshiram,1,2
Virizion,Florges,Florges,0,3
Orthworm,Hitmontop,Hitmontop,0,2
Volcarona,Chinchou,Volcarona,1,2
Orbeetle,Carnivine,Orbeetle,1,2
Boldore,Servine,Servine,0,1
Jynx,Wooloo,Jynx,1,1
Dracozolt,Spidops,Dracozolt,1,3
Fraxure,Dubwool,Dubwool,0,2
Blacephalon,Vikavolt,Blacephalon,1,1
Raboot,Spinda,Raboot,1,3
Snubbull,Rotom,Rotom,0,2
Wigglytuff,Shedinja,Wigglytuff,1,1
Celesteela,Rhyhorn,Celesteela,1,1
Dubwool,Bewear,Bewear,0,2
Swellow,Beldum,Beldum,0,3
Happiny,Metang,Metang,0,1
Timburr,Basculegion-Male,Basculegion-Male,0,2
Infernape,Wurmple,Infernape,1,1
Mudsdale,Growlithe,Mudsdale,1,1
Stakataka,Foongus,Stakataka,1,1
Pikachu,Pachirisu,Pachirisu,0,2
Vanillish,Ditto,Vanillish,1,2
Tropius,Grubbin,Tropius,1,1
Amaura,Delcatty,Amaura,1,3
Mew,Nihilego,Mew,1,3
Frillish-Male,Vullaby,Vullaby,0,2
Numel,Slurpuff,Slurpuff,0,2
Zebstrika,Beautifly,Zebstrika,1,1
Blitzle,Regirock,Regirock,0,1
Meditite,Hippopotas,Hippopotas,0,1
Machop,Magneton,Magneton,0,1
Drowzee,Primarina,Primarina,0,2
Elekid,Bellossom,Bellossom,0,2
Charcadet,Slurpuff,Slurpuff,0,2
Flaaffy,Castform,Castform,0,3
Nincada,Tadbulb,Tadbulb,0,1
Brambleghast,Toedscruel,Toedscruel,0,2
Lickilicky,Weedle,Lickilicky,1,1
Castform,Omastar,Omastar,0,2
Zamazenta,Slugma,Zamazenta,1,1
Bounsweet,Aegislash-Shield,Aegislash-Shield,0,1
Tornadus-Incarnate,Klawf,Tornadus-Incarnate,1,2
Tyrunt,Heatran,Heatran,0,1
Gible,Omanyte,Gible,1,1
Kingambit,Banette,Kingambit,1,2
Dondozo,Swablu,Dondozo,1,2
Sharpedo,Mr-Mime,Mr-Mime,0,1
Chingling,Lotad,Chingling,1,2
Kricketune,Spearow,Kricketune,1,1
Drifblim,Cubone,Drifblim,1,1
Dustox,Cascoon,Dustox,1,2
Dodrio,Cascoon,Dodrio,1,1
Drednaw,Tranquill,Drednaw,1,1
Goldeen,Goodra,Goodra,0,1
Basculegion-Male,Armarouge,Basculegion-Male,1,2
Cacturne,Azumarill,Cacturne,1,2
Grumpig,Riolu,Grumpig,1,1
Archen,Porygon,Porygon,0,1
Vespiquen,Raikou,Raikou,0,2
Blacephalon,Shroodle,Blacephalon,1,1
Rotom,Zeraora,Zeraora,0,3
Duraludon,Marshadow,Marshadow,0,2
Type-Null,Baltoy,Type-Null,1,1
Taillow,Zamazenta,Zamazenta,0,1
Delcatty,Roggenrola,Delcatty,1,2
Cottonee,Manectric,Manectric,0,1
Magnemite,Iron-Leaves,Iron-Leaves,0,2
Cobalion,Igglybuff,Cobalion,1,1
Drapion,Burmy,Drapion,1,1
Solosis,Shroodle,Solosis,1,1
Palkia,Weavile,Palkia,1,2
Iron-Crown,Wooloo,Iron-Crown,1,1
Tinkatink,Necrozma,Necrozma,0,2
Basculin-Red-Striped,Binacle,Basculin-Red-Striped,1,2
Hakamo-O,Lapras,Lapras,0,1
Deerling,Salazzle,Salazzle,0,1
Aegislash-Shield,Braviary,Aegislash-Shield,1,5
Celebi,Sawsbuck,Celebi,1,2
Centiskorch,Elekid,Centiskorch,1,1
Kangaskhan,Smoliv,Kangaskhan,1,1
Lickilicky,Heracross,Heracross,0,2
Primarina,Baltoy,Primarina,1,1
Lechonk,Aipom,Aipom,0,2
Snorunt,Dragapult,Dragapult,0,1
Whimsicott,Raging-Bolt,Raging-Bolt,0,2
Sylveon,Mawile,Mawile,0,2
Houndoom,Zoroark,Houndoom,1,2
Magikarp,Dugtrio,Dugtrio,0,1
Gengar,Graveler,Gengar,1,1
Walrein,Zigzagoon,Walrein,1,1
Bibarel,Larvitar,Bibarel,1,1
Grovyle,Munchlax,Munchlax,0,2
Trevenant,Diancie,Diancie,0,2
Iron-Jugulis,Watchog,Iron-Jugulis,1,2
Mesprit,Aron,Mesprit,1,2
Tropius,Venusaur,Venusaur,0,2
Wurmple,Tangrowth,Tangrowth,0,1
Tentacool,Bombirdier,Bombirdier,0,1
Kilowattrel,Gengar,Gengar,0,1
Spoink,Shieldon,Shieldon,0,2
Finneon,Metang,Metang,0,3
Throh,Dustox,Throh,1,3
Gulpin,Trevenant,Trevenant,0,2
Regice,Clamperl,Regice,1,2
Steenee,Electrode,Electrode,0,1
Farigiraf,Dewott,Farigiraf,1,2
Palkia,Weedle,Palkia,1,1
Bisharp,Ho-Oh,Ho-Oh,0,1
Dratini,Skorupi,Skorupi,0,2
Glimmora,Mudbray,Glimmora,1,1
Veluza,Haunter,Veluza,1,1
Omanyte,Morelull,Morelull,0,1
Hawlucha,Furfrou,Hawlucha,1,1
Skiploom,Palossand,Palossand,0,1
Toucannon,Registeel,Registeel,0,3
Meditite,Mandibuzz,Mandibuzz,0,1
Arctozolt,Nickit,Arctozolt,1,1
Graveler,Houndstone,Houndstone,0,2
Lombre,Spectrier,Spectrier,0,2
Cetoddle,Grimmsnarl,Grimmsnarl,0,2
Deino,Vespiquen,Vespiquen,0,1
Pancham,Deino,Pancham,1,1
Inkay,Salamence,Salamence,0,1
Aerodactyl,Volcanion,Volcanion,0,1
Ducklett,Charcadet,Ducklett,1,1
Exeggutor,Venusaur,Venusaur,0,2
Axew,Spidops,Spidops,0,2
Weepinbell,Woobat,Woobat,0,2
Solgaleo,Crustle,Solgaleo,1,2
Gardevoir,Bruxish,Gardevoir,1,2
Flygon,Toedscool,Flygon,1,1
Sentret,Zekrom,Zekrom,0,1
Malamar,Blacephalon,Blacephalon,0,2
Klink,Toxicroak,Toxicroak,0,1
Bouffalant,Lugia,Lugia,0,4
Castform,Skitty,Castform,1,2
Krookodile,Forretress,Forretress,0,2
Farigiraf,Muk,Farigiraf,1,2
Skrelp,Orthworm,Orthworm,0,3
Mantyke,Rhydon,Mantyke,1,1
Brionne,Magcargo,Brionne,1,1
Bramblin,Aromatisse,Aromatisse,0,1
Chimchar,Meowstic-Male,Meowstic-Male,0,1
Charmeleon,Dracovish,Dracovish,0,2
Florges,Scorbunny,Florges,1,2
Metagross,Monferno,Metagross,1,1
Liepard,Bibarel,Bibarel,0,2
Clobbopus,Rillaboom,Rillaboom,0,2
Slaking,Gothorita,Slaking,1,2
Calyrex,Sawsbuck,Calyrex,1,3
Gothorita,Sirfetchd,Sirfetchd,0,2
Nuzleaf,Illumise,Illumise,0,1
Taillow,Espurr,Espurr,0,1
Glaceon,Vileplume,Glaceon,1,2
Charcadet,Toxapex,Toxapex,0,1
Clodsire,Bergmite,Clodsire,1,3
Gimmighoul,Milotic,Milotic,0,2
Kabuto,Nidoking,Nidoking,0,1
Ludicolo,Klang,Ludicolo,1,3
Veluza,Munkidori,Munkidori,0,4
Tyrunt,Ditto,Tyrunt,1,1
Carbink,Cosmoem,Carbink,1,4
Suicune,Tadbulb,Suicune,1,1
Clobbopus,Exeggutor,Exeggutor,0,1
Squawkabilly-Green-Plumage,Exeggcute,Squawkabilly-Green-Plumage,1,1
Magnezone,Manectric,Magnezone,1,2
Delibird,Poltchageist,Delibird,1,1
Pheromosa,Blitzle,Pheromosa,1,1
Gloom,Crabrawler,Gloom,1,2
Kommo-O,Prinplup,Kommo-O,1,2
Floragato,Ninetales,Ninetales,0,1
Meowstic-Male,Pikachu,Meowstic-Male,1,1
Wimpod,Minior-Red-Meteor,Minior-Red-Meteor,0,1
Thundurus-Incarnate,Torterra,Thundurus-Incarnate,1,1
Salamence,Raboot,Salamence,1,2
Dachsbun,Gouging-Fire,Gouging-Fire,0,3
Camerupt,Manectric,Camerupt,1,1
Flapple,Lucario,Lucario,0,1
Blipbug,Dusknoir,Dusknoir,0,1
